
Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,GB,9,2021,33,F,false,JMC,OCTOBER,2021,Lecture 6
1,GB,9,2021,33,F,false,PYC,JANUARY,2022,Lecture 6
2,CN,11,2018,47,M,false,JMC,FEBRUARY,2019,Lecture 8
2,CN,11,2018,47,M,false,PYC,FEBRUARY,2023,Lecture 14
3,GB,4,2016,51,F,false,JMC,DECEMBER,2021,Lecture 12
3,GB,4,2016,51,F,false,PYC,FEBRUARY,2021,Lecture 7
4,AU,12,2018,65,M,true,JMC,SEPTEMBER,2024,Lecture 14
4,AU,12,2018,65,M,true,PYC,NOVEMBER,2020,Lecture 4
5,GB,4,2024,75,M,false,JMC,NOVEMBER,2024,Lecture 6
5,GB,4,2024,75,M,false,PYC,MAY,2024,Lecture 1
